Ticker,Cluster
LECO,13
TEN,15
SCL,0
PAYX,16
URBN,0
SEIC,10
MA,19
AMH,14
MG,4
DD,19
CHE,12
IT,10
PFG,0
PDLB,16
NBHC,9
VLY,14
ISTR,19
VRTX,20
TFSL,16
TMHC,20
HON,4
UE,8
HALO,17
EPAC,20
OMF,16
WABC,14
CPS,0
SKT,0
OPK,11
HCSG,16
EXPE,2
NWL,16
MFA,7
ADUS,12
EPM,8
BDC,4
PRTA,18
GPC,12
TPC,19
OLP,0
VHC,11
MSEX,11
AWK,13
HXL,18
NEE,14
PB,5
IRT,8
JOE,8
FFIC,12
LBRDA,12
DFIN,7
GTLS,11
NNBR,12
CSGP,8
BUSE,19
OPBK,12
CMP,16
T,10
GHC,4
RYN,10
GLDD,16
TNET,18
ORGO,8
GOSS,2
CCI,9
APAM,11
ERII,5
UAL,13
OPRT,20
O,5
BDN,11
AROW,14
WSC,0
ARAY,11
RJF,0
AXTI,7
UNIT,4
EARN,17
WEYS,1
UNP,4
MLP,4
DHT,2
TRV,2
HAL,12
COP,13
BHB,4
BANC,2
WWW,4
BV,11
EQBK,15
NPO,11
PRA,12
AGYS,9
RS,18
NOV,0
VAC,20
PEBK,16
TIPT,13
COLM,4
CNO,4
BLK,7
UI,9
OKTA,0
CABO,3
HCKT,1
ACN,7
WPC,4
TECH,4
PCG,6
VFC,4
MU,9
REVG,7
ARR,4
HFFG,16
SWBI,16
VTOL,1
CMCT,16
ECL,6
ORA,11
STRA,20
ACA,7
PLAB,6
TMDX,4
DLR,2
JRVR,12
CTRE,3
OVLY,20
TEAM,9
GNW,19
DX,10
MTH,11
AMD,13
EXPO,19
RGA,4
IRDM,20
FNWB,13
AFG,15
JNJ,11
DVA,19
GPK,11
NVR,10
FNKO,16
MXL,5
XRAY,12
SSNC,9
WAB,6
ANET,8
HAS,12
WRAP,8
INSM,12
PEB,14
ULBI,2
BWA,13
EL,11
ANIP,11
BTU,11
NRC,11
TDY,0
DBI,8
GE,16
ACHC,14
ATO,4
WGO,7
CL,0
LMT,20
PCB,19
CFR,13
YUM,9
OZK,7
KLAC,11
AEE,2
GOOGL,4
